Date,Location,Sand,Turf,Crustose_Coralline_Algae_or_Bare_Space,Stony_Coral,Soft_Coral,Macroalgae,Acanthastrea,Acropora,Astreopora,Cyphastrea,Favia,Fungia,Gardinoseris,Herpolitha,Leptastrea,Leptoseris,Lobophyllia,Montastrea,Montipora,Pachyseris,Pavona,Pocillopora,Porites,Psammocora,Sandolitha,Stylocoeniella,Tubastrea,Millepora
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 1,22.5,0,0,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 2,30.2,4.1,45,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 3,2.5,12.3,74.2,6.7,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 4,15.4,0.6,58.9,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 5,0.6,22.6,29.3,47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 6,0,0.6,97,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 7,5,0,84.9,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 8,1.9,0,26.1,71.3,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 1,7.6,19.6,36.1,32.3,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 2,3.1,16.7,54.9,23.5,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 3,2,63.8,13.2,15.1,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 4,2.4,0,49.1,47.3,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 5,1.8,15.8,17.6,44.2,0,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 6,5.5,3.7,53.4,36.8,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 7,6.5,0,69,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 8,0.6,16.7,61.5,12.8,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,12.2,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 1,32.1,4.5,50.6,10.3,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 2,0.6,43.4,24.1,25.3,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 3,44,4.4,33.3,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 4,35.4,0,53.8,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 5,33.5,0,59.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 6,1.9,0,98.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 7,0.6,0,86.7,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 8,0,0,39,45.3,0,15.7,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,43.4,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 1,20.6,0,0,79.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.4,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 2,58.8,0,29.7,4.8,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,4.2,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 3,54.6,3.1,34.4,3.1,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1.2,0,0,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 4,4.5,0,84.4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 5,12.2,0,29.9,42.1,0,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 6,58.2,0,27.3,10.3,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 7,24,0,47.4,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 8,34.6,0,15.4,48.8,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 2,84.5,0,6.8,1.2,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 3,24.6,19.8,31.1,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,0,0,0,0,0
2005-04,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 4,0,21.1,73,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0
