year,site,quad,patch,benthic_category,percent_cover
2005,1,1,1,coral,64
2005,1,1,1,cb,32
2005,1,1,1,macroalgae,0
2005,1,1,1,millepora,0
2005,1,1,1,sand,4
2005,1,1,1,turf,0
2005,1,10,1,sand,56
2005,1,10,1,turf,0
2005,1,10,1,millepora,0
2005,1,10,1,cb,12
2005,1,10,1,coral,24
2005,1,10,1,macroalgae,8
2005,1,11,1,millepora,0
2005,1,11,1,sand,84
2005,1,11,1,macroalgae,0
2005,1,11,1,coral,12
2005,1,11,1,cb,4
2005,1,11,1,turf,0
2005,1,12,1,cb,8
2005,1,12,1,sand,8
2005,1,12,1,turf,24
2005,1,12,1,millepora,0
2005,1,12,1,macroalgae,4
2005,1,12,1,coral,56
2005,1,13,1,cb,0
2005,1,13,1,macroalgae,8
2005,1,13,1,turf,0
2005,1,13,1,sand,8
2005,1,13,1,coral,84
2005,1,13,1,millepora,0
2005,1,14,1,coral,68
2005,1,14,1,millepora,0
2005,1,14,1,sand,24
2005,1,14,1,turf,0
2005,1,14,1,macroalgae,0
2005,1,14,1,cb,8
2005,1,15,1,macroalgae,0
2005,1,15,1,turf,0
2005,1,15,1,sand,80
2005,1,15,1,cb,8
2005,1,15,1,millepora,0
2005,1,15,1,coral,12
2005,1,16,1,macroalgae,4
2005,1,16,1,coral,72
2005,1,16,1,cb,8
2005,1,16,1,sand,0
2005,1,16,1,turf,16
2005,1,16,1,millepora,0
2005,1,17,1,cb,60
2005,1,17,1,sand,4
2005,1,17,1,macroalgae,0
2005,1,17,1,millepora,0
2005,1,17,1,coral,36
2005,1,17,1,turf,0
2005,1,18,1,macroalgae,0
2005,1,18,1,cb,52
2005,1,18,1,coral,48
2005,1,18,1,turf,0
2005,1,18,1,sand,0
2005,1,18,1,millepora,0
2005,1,19,1,millepora,0
2005,1,19,1,sand,12
2005,1,19,1,coral,60
2005,1,19,1,macroalgae,0
2005,1,19,1,cb,28
2005,1,19,1,turf,0
2005,1,2,1,turf,0
2005,1,2,1,coral,84
2005,1,2,1,sand,4
2005,1,2,1,macroalgae,0
2005,1,2,1,cb,12
2005,1,2,1,millepora,0
2005,1,20,1,cb,76
2005,1,20,1,sand,12
2005,1,20,1,coral,0
2005,1,20,1,macroalgae,0
2005,1,20,1,millepora,0
2005,1,20,1,turf,12
2005,1,3,1,sand,4
2005,1,3,1,cb,44
2005,1,3,1,millepora,0
2005,1,3,1,coral,52
2005,1,3,1,turf,0
2005,1,3,1,macroalgae,0
2005,1,4,1,sand,0
2005,1,4,1,turf,0
2005,1,4,1,millepora,0
2005,1,4,1,coral,17
2005,1,4,1,macroalgae,8
2005,1,4,1,cb,75
2005,1,5,1,macroalgae,0
2005,1,5,1,sand,12
2005,1,5,1,coral,28
2005,1,5,1,cb,60
2005,1,5,1,turf,0
2005,1,5,1,millepora,0
2005,1,6,1,turf,0
2005,1,6,1,macroalgae,0
2005,1,6,1,millepora,0
2005,1,6,1,cb,64
2005,1,6,1,sand,8
2005,1,6,1,coral,28
2005,1,7,1,millepora,0
2005,1,7,1,sand,0
2005,1,7,1,coral,60
2005,1,7,1,cb,8
2005,1,7,1,turf,20
2005,1,7,1,macroalgae,12
2005,1,8,1,macroalgae,0
2005,1,8,1,coral,12
2005,1,8,1,millepora,0
2005,1,8,1,sand,12
2005,1,8,1,turf,0
2005,1,8,1,cb,76
2005,1,9,1,sand,64
2005,1,9,1,coral,0
2005,1,9,1,millepora,0
2005,1,9,1,macroalgae,0
2005,1,9,1,turf,0
2005,1,9,1,cb,36
2005,1,1,2,macroalgae,20
2005,1,1,2,sand,0
2005,1,1,2,turf,0
2005,1,1,2,millepora,0
2005,1,1,2,cb,28
2005,1,1,2,coral,52
2005,1,10,2,millepora,24
2005,1,10,2,cb,24
2005,1,10,2,sand,0
2005,1,10,2,turf,0
2005,1,10,2,coral,52
2005,1,10,2,macroalgae,0
2005,1,11,2,cb,52
2005,1,11,2,coral,16
2005,1,11,2,millepora,20
2005,1,11,2,sand,0
2005,1,11,2,turf,0
2005,1,11,2,macroalgae,12
2005,1,12,2,millepora,0
2005,1,12,2,cb,52
2005,1,12,2,sand,0
2005,1,12,2,turf,0
2005,1,12,2,coral,48
2005,1,12,2,macroalgae,0
2005,1,13,2,millepora,0
2005,1,13,2,turf,0
2005,1,13,2,cb,20
2005,1,13,2,macroalgae,0
2005,1,13,2,sand,80
2005,1,13,2,coral,0
2005,1,14,2,macroalgae,4
2005,1,14,2,millepora,0
2005,1,14,2,turf,0
2005,1,14,2,sand,24
2005,1,14,2,cb,4
2005,1,14,2,coral,68
2005,1,15,2,cb,20
2005,1,15,2,macroalgae,4
2005,1,15,2,sand,0
2005,1,15,2,millepora,0
2005,1,15,2,coral,76
2005,1,15,2,turf,0
2005,1,16,2,millepora,0
2005,1,16,2,cb,48
2005,1,16,2,macroalgae,0
2005,1,16,2,coral,48
2005,1,16,2,turf,0
2005,1,16,2,sand,4
2005,1,17,2,millepora,0
2005,1,17,2,cb,40
2005,1,17,2,turf,16
2005,1,17,2,coral,44
2005,1,17,2,sand,0
2005,1,17,2,macroalgae,0
2005,1,18,2,coral,20
2005,1,18,2,millepora,0
2005,1,18,2,sand,0
2005,1,18,2,macroalgae,0
2005,1,18,2,cb,12
2005,1,18,2,turf,68
2005,1,19,2,sand,0
2005,1,19,2,coral,64
2005,1,19,2,turf,4
2005,1,19,2,macroalgae,0
2005,1,19,2,millepora,0
2005,1,19,2,cb,32
2005,1,2,2,cb,60
2005,1,2,2,sand,0
2005,1,2,2,turf,0
2005,1,2,2,macroalgae,16
2005,1,2,2,millepora,0
2005,1,2,2,coral,24
2005,1,20,2,cb,16
2005,1,20,2,coral,52
2005,1,20,2,sand,32
2005,1,20,2,macroalgae,0
2005,1,20,2,millepora,0
2005,1,20,2,turf,0
2005,1,3,2,cb,40
2005,1,3,2,turf,0
2005,1,3,2,macroalgae,4
2005,1,3,2,millepora,0
2005,1,3,2,sand,16
2005,1,3,2,coral,40
2005,1,4,2,turf,0
2005,1,4,2,macroalgae,8
2005,1,4,2,sand,4
2005,1,4,2,cb,12
2005,1,4,2,coral,76
2005,1,4,2,millepora,0
2005,1,5,2,turf,0
2005,1,5,2,cb,4
2005,1,5,2,millepora,0
2005,1,5,2,coral,28
2005,1,5,2,sand,68
2005,1,5,2,macroalgae,0
2005,1,6,2,coral,16
2005,1,6,2,macroalgae,44
2005,1,6,2,sand,8
2005,1,6,2,turf,0
2005,1,6,2,millepora,12
2005,1,6,2,cb,20
2005,1,7,2,sand,4
2005,1,7,2,coral,44
2005,1,7,2,millepora,0
2005,1,7,2,macroalgae,8
2005,1,7,2,cb,32
2005,1,7,2,turf,12
2005,1,8,2,sand,68
2005,1,8,2,coral,8
2005,1,8,2,turf,0
2005,1,8,2,macroalgae,8
2005,1,8,2,millepora,0
2005,1,8,2,cb,16
2005,1,9,2,cb,60
