Year,Functional.group,Habitat,Biomass
2006,Browser,FO,712.1233333
2007,Browser,FO,1719.966667
2008,Browser,FO,1281.166667
2009,Browser,FO,2260.616667
2010,Browser,FO,1473.583333
2011,Browser,FO,1155.313333
2012,Browser,FO,1032.65
2013,Browser,FO,1315.4
2006,Detritivore,FO,2430.33
2007,Detritivore,FO,2483.825
2008,Detritivore,FO,3453.793333
2009,Detritivore,FO,10747.34
2010,Detritivore,FO,6405.051667
2011,Detritivore,FO,3731.398667
2012,Detritivore,FO,2223.216667
2013,Detritivore,FO,4286.695
2006,Excavator,FO,1695.161667
2007,Excavator,FO,2372.276667
2008,Excavator,FO,2334.988333
2009,Excavator,FO,8225.766667
2010,Excavator,FO,5246.866667
2011,Excavator,FO,4319.59
2012,Excavator,FO,4602.723333
2013,Excavator,FO,10208.21333
2006,Farmer,FO,14.11
2007,Farmer,FO,66.89
2008,Farmer,FO,65.83666667
2009,Farmer,FO,30.16
2010,Farmer,FO,56.69833333
2011,Farmer,FO,69.125
2012,Farmer,FO,54.72166667
2013,Farmer,FO,46.582
2006,Grazer/detritivore,FO,2894.273333
2007,Grazer/detritivore,FO,4684.371667
2008,Grazer/detritivore,FO,3340.263333
2009,Grazer/detritivore,FO,5799.893333
2010,Grazer/detritivore,FO,4076.155
2011,Grazer/detritivore,FO,3829.233333
2012,Grazer/detritivore,FO,4280.931667
2013,Grazer/detritivore,FO,5175.088333
2006,Scraper,FO,627.6333333
2007,Scraper,FO,807.78
2008,Scraper,FO,928.7333333
2009,Scraper,FO,4587.358333
2010,Scraper,FO,7439.955
2011,Scraper,FO,5549.1
2012,Scraper,FO,6437.133333
2013,Scraper,FO,16574.555
