Family,Species,Trophic.group,Functional.group
Acanthuridae,Acanthurus achilles,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus auranticavus,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus bahianus,Herbivore/Detritivore,Scraper
Acanthuridae,Acanthurus barine,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus blochii,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus chirurgus,Herbivore/Detritivore,Scraper
Acanthuridae,Acanthurus coerculeus,Herbivore/Detritivore,Browser
Acanthuridae,Acanthurus dussumieri,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus fowleri,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus guttatus,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus japonicus,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus leucocheilus,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus leucopareius,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus leucosternon,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus lineatus,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus maculiceps,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus nigricans,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus nigricauda,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus nigrofuscus,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus nigroris,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus olivaceus,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus pyroferus,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus tennentii,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus triostegus,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus tristis,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Acanthurus xanthopterus,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Ctenochaetus binotatus,Herbivore/Detritivore,Detritivore
Acanthuridae,Ctenochaetus flavicauda,Herbivore/Detritivore,Detritivore
Acanthuridae,Ctenochaetus striatus,Herbivore/Detritivore,Detritivore
Acanthuridae,Naso annulatus,Herbivore/Detritivore,Browser
Acanthuridae,Naso brachycentron,Herbivore/Detritivore,Browser
Acanthuridae,Naso brevirostris,Herbivore/Detritivore,Browser
Acanthuridae,Naso elegans,Herbivore/Detritivore,Browser
Acanthuridae,Naso lituratus,Herbivore/Detritivore,Browser
Acanthuridae,Naso maculates,Herbivore/Detritivore,Browser
Acanthuridae,Naso mcdadei,Herbivore/Detritivore,Browser
Acanthuridae,Naso tonganus,Herbivore/Detritivore,Browser
Acanthuridae,Naso tuberosus,Herbivore/Detritivore,Browser
Acanthuridae,Naso unicornis,Herbivore/Detritivore,Browser
Acanthuridae,Zebrasoma desjardinii,Herbivore/Detritivore,Grazer
Acanthuridae,Zebrasoma flavescens,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Zebrasoma rostratum,Herbivore/Detritivore,Grazer
Acanthuridae,Zebrasoma scopas,Herbivore/Detritivore,Grazer/detritivore
Acanthuridae,Zebrasoma veliferum,Herbivore/Detritivore,Grazer/detritivore
Blenniidae,Aspidontus dussumieri,Herbivore/Detritivore,Unknown
Blenniidae,Atrosalarias fuscus,Herbivore/Detritivore,Unknown
Blenniidae,Cirripectes stigmaticus,Herbivore/Detritivore,Unknown
Blenniidae,Cirripectes variolosus,Herbivore/Detritivore,Unknown
Blenniidae,Cirripectes variolosus (cf),Herbivore/Detritivore,Unknown
Ephippidae,Platax batavianus,Herbivore/Detritivore,Browser
Ephippidae,Platax blochii,Herbivore/Detritivore,Browser
Ephippidae,Platax boersi,Herbivore/Detritivore,Browser
Ephippidae,Platax boersii,Herbivore/Detritivore,Browser
Ephippidae,Platax ehrenbergii,Herbivore/Detritivore,Browser
