Taxonomy,Year,Date,Start,End,Location,Site,Habitat,Transect,Swath,Family.x,Count,Total_Length,Length_Anomaly,Biomass,Coarse_Trophic,Fine_Trophic,Cloud_Cover,Wind_Velocity,Sea_State,Swell,Visibility,Surge,Diver,Family.y,Trophic.group,Functional.group
Acanthurus achilles,2006,7/15/06,21:50,23:25,LTER 6 Forereef Fish Transect 4 Swath 5 m,6,FO,4,5,Acanthuridae,1,180,0,123.4,Primary Consumer,Herbivore/Detritivore,50,1,0,1,37,1,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus achilles,2009,8/3/09,19:45,20:35,LTER 2 Fringing Reef Fish Transect 3 Swath 5 m,2,FR,3,5,Acanthuridae,1,90,0,15.6,Primary Consumer,Herbivore/Detritivore,25,1,0,0,19,0,YR,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus achilles,2006,7/14/06,21:35,23:25,LTER 1 Forereef Fish Transect 4 Swath 5 m,1,FO,4,5,Acanthuridae,1,80,0,10.98,Primary Consumer,Herbivore/Detritivore,80,1,0,1,42,0,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus blochii,2011,7/30/11,10:55,11:50,LTER 2 Forereef Fish Transect 4 Swath 5 m,2,FO,4,5,Acanthuridae,1,180,0,125.3,Primary Consumer,Herbivore/Detritivore,20,0,0,1,30.8,0,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus blochii,2009,8/7/09,19:30,20:55,LTER 4 Forereef Fish Transect 2 Swath 5 m,4,FO,2,5,Acanthuridae,9,220,0,2071.5,Primary Consumer,Herbivore/Detritivore,90,1,0,1,30.9,0.5,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus blochii,2006,7/11/06,20:45,21:55,LTER 2 Fringing Reef Fish Transect 2 Swath 5 m,2,FR,2,5,Acanthuridae,1,160,0,87.6,Primary Consumer,Herbivore/Detritivore,60,1,0,0,-1,0,AB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus blochii,2011,8/3/11,11:45,12:55,LTER 6 Forereef Fish Transect 4 Swath 5 m,6,FO,4,5,Acanthuridae,4,90,0,61.26,Primary Consumer,Herbivore/Detritivore,15,3,1,1.5,51,1,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus blochii,2007,7/17/07,24:10:00,24:50:00,LTER 2 Fringing Reef Fish Transect 1 Swath 5 m,2,FR,1,5,Acanthuridae,1,180,0,125.3,Primary Consumer,Herbivore/Detritivore,95,1,0,0,13,0,GB,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus blochii,2011,8/2/11,9:55,11:00,LTER 4 Forereef Fish Transect 4 Swath 5 m,4,FO,4,5,Acanthuridae,12,80,0,128.58,Primary Consumer,Herbivore/Detritivore,3,2,0,0.5,44.3,1,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
Acanthurus guttatus,2012,7/31/12,22:10,22:55,LTER 5 Fringing Reef Fish Transect 4 Swath 5 m,5,FR,4,5,Acanthuridae,2,120,0,87.2,Primary Consumer,Herbivore/Detritivore,65,2,2,0,12.8,0,KS,Acanthuridae,Herbivore/Detritivore,Grazer/detritivore
