Year,Coral cover (%),Percent change,Year,Disturbance
1991,50.75,,1991,Cyclone and Bleaching
1992,23.5,-53.69458128,1994,Bleaching
1993,21.75,-7.446808511,2002,Bleaching
1994,27.5,26.43678161,2003,Bleaching
1995,30,9.090909091,2007,Crown of thorns outbreak
1996,31,3.333333333,2008,Cyclone
1997,36.5,17.74193548,,
1998,41.75,14.38356164,,
1999,42.25,1.19760479,,
2000,41.25,-2.366863905,,
2001,48.75,18.18181818,,
2002,48.25,-1.025641026,,
2003,43.75,-9.32642487,,
2004,48.25,10.28571429,,
2005,37.77498016,-21.70988568,,
2006,37.57998016,-0.516214699,,
2007,33.59384921,-10.60705975,,
2008,21.67972222,-35.46520351,,
2009,9.707698413,-55.22221957,,
2010,3.63040873,-62.60278621,,
2011,2.706507937,-25.44894698,,
2012,3.969166667,46.65268898,,
2013,12.44268651,213.4835988,,
,,,,
,,,,
,,,,
Year,Turf Cover (%),Percent change,,
2005,4.140595238,,,
2006,3.558186508,-14.06582137,,
2007,5.558603175,56.22011838,,
2008,10.90888889,96.25234158,,
2009,18.02924603,65.27114917,,
2010,0.767912698,-95.7407387,,
2011,6.119623016,696.9165026,,
2012,33.41129762,445.9698667,,
2013,23.18893254,-30.59553447,,
,,,,
,,,,
Year,Macroalgal Cover (%),Percent change,,
2005,4.673730159,,,
2006,3.156702381,-32.45860857,,
2007,2.911333333,-7.772954761,,
2008,11.30482143,288.3039191,,
2009,13.9910119,23.76145865,,
2010,5.796281746,-58.57139007,,
2011,7.996071429,37.95173836,,
2012,13.76692857,72.17115545,,
2013,8.479043651,-38.41005561,,
